"","Index","identity","emotion_idx","emotion_cat","type"
"107",107,386,"1","Neutral","simple"
"108",108,387,"1","Neutral","simple"
"109",109,388,"1","Neutral","simple"
"110",110,390,"1","Neutral","simple"
"111",111,391,"1","Neutral","simple"
"112",112,393,"1","Neutral","simple"
"113",113,113,"2","Happy","simple"
"114",114,114,"2","Happy","simple"
"115",115,115,"2","Happy","simple"
"116",116,117,"2","Happy","simple"
"117",117,118,"2","Happy","simple"
"118",118,122,"2","Happy","simple"
"119",119,123,"2","Happy","simple"
"120",120,124,"2","Happy","simple"
"121",121,127,"2","Happy","simple"
"122",122,129,"2","Happy","simple"
"123",123,130,"2","Happy","simple"
"124",124,131,"2","Happy","simple"
"125",125,133,"2","Happy","simple"
"126",126,134,"2","Happy","simple"
"127",127,140,"2","Happy","simple"
"128",128,141,"2","Happy","simple"
"129",129,142,"2","Happy","simple"
"130",130,144,"2","Happy","simple"
"131",131,148,"2","Happy","simple"
"132",132,172,"2","Happy","simple"
"133",133,173,"2","Happy","simple"
"134",134,174,"2","Happy","simple"
"135",135,176,"2","Happy","simple"
"136",136,178,"2","Happy","simple"
"137",137,179,"2","Happy","simple"
"138",138,180,"2","Happy","simple"
"139",139,181,"2","Happy","simple"
"140",140,182,"2","Happy","simple"
"141",141,184,"2","Happy","simple"
"142",142,188,"2","Happy","simple"
"143",143,189,"2","Happy","simple"
"144",144,190,"2","Happy","simple"
"145",145,193,"2","Happy","simple"
"146",146,195,"2","Happy","simple"
"147",147,198,"2","Happy","simple"
"148",148,200,"2","Happy","simple"
"149",149,201,"2","Happy","simple"
"150",150,202,"2","Happy","simple"
"151",151,205,"2","Happy","simple"
"152",152,206,"2","Happy","simple"
"153",153,212,"2","Happy","simple"
"154",154,214,"2","Happy","simple"
"155",155,216,"2","Happy","simple"
"156",156,218,"2","Happy","simple"
"157",157,219,"2","Happy","simple"
"158",158,222,"2","Happy","simple"
"159",159,223,"2","Happy","simple"
"160",160,224,"2","Happy","simple"
"161",161,226,"2","Happy","simple"
"162",162,230,"2","Happy","simple"
"163",163,232,"2","Happy","simple"
"164",164,234,"2","Happy","simple"
"165",165,235,"2","Happy","simple"
"166",166,236,"2","Happy","simple"
"167",167,238,"2","Happy","simple"
"168",168,239,"2","Happy","simple"
"169",169,240,"2","Happy","simple"
"170",170,242,"2","Happy","simple"
"171",171,252,"2","Happy","simple"
"172",172,253,"2","Happy","simple"
"173",173,254,"2","Happy","simple"
"174",174,255,"2","Happy","simple"
"175",175,256,"2","Happy","simple"
"176",176,258,"2","Happy","simple"
"177",177,265,"2","Happy","simple"
"178",178,266,"2","Happy","simple"
"179",179,268,"2","Happy","simple"
"180",180,272,"2","Happy","simple"
"181",181,274,"2","Happy","simple"
"182",182,276,"2","Happy","simple"
"183",183,277,"2","Happy","simple"
"184",184,280,"2","Happy","simple"
"185",185,284,"2","Happy","simple"
"186",186,285,"2","Happy","simple"
"187",187,286,"2","Happy","simple"
"188",188,287,"2","Happy","simple"
"189",189,288,"2","Happy","simple"
"190",190,290,"2","Happy","simple"
"191",191,293,"2","Happy","simple"
"192",192,294,"2","Happy","simple"
"193",193,295,"2","Happy","simple"
"194",194,298,"2","Happy","simple"
"195",195,301,"2","Happy","simple"
"196",196,303,"2","Happy","simple"
"197",197,305,"2","Happy","simple"
"198",198,306,"2","Happy","simple"
"199",199,307,"2","Happy","simple"
"200",200,309,"2","Happy","simple"
"201",201,313,"2","Happy","simple"
"202",202,318,"2","Happy","simple"
"203",203,319,"2","Happy","simple"
"204",204,326,"2","Happy","simple"
"205",205,334,"2","Happy","simple"
"206",206,337,"2","Happy","simple"
"207",207,338,"2","Happy","simple"
"208",208,339,"2","Happy","simple"
"209",209,344,"2","Happy","simple"
"210",210,345,"2","Happy","simple"
"211",211,347,"2","Happy","simple"
"212",212,349,"2","Happy","simple"
"213",213,352,"2","Happy","simple"
"214",214,355,"2","Happy","simple"
"215",215,357,"2","Happy","simple"
"216",216,361,"2","Happy","simple"
"217",217,363,"2","Happy","simple"
"218",218,369,"2","Happy","simple"
"219",219,373,"2","Happy","simple"
"220",220,374,"2","Happy","simple"
"221",221,376,"2","Happy","simple"
"222",222,379,"2","Happy","simple"
"223",223,380,"2","Happy","simple"
"224",224,384,"2","Happy","simple"
"225",225,388,"2","Happy","simple"
"226",226,392,"2","Happy","simple"
"227",227,110,"3","Sad","simple"
"228",228,113,"3","Sad","simple"
"229",229,115,"3","Sad","simple"
"230",230,116,"3","Sad","simple"
"231",231,118,"3","Sad","simple"
"232",232,119,"3","Sad","simple"
"233",233,121,"3","Sad","simple"
"234",234,123,"3","Sad","simple"
"235",235,126,"3","Sad","simple"
"236",236,127,"3","Sad","simple"
"237",237,128,"3","Sad","simple"
"238",238,129,"3","Sad","simple"
"239",239,130,"3","Sad","simple"
"240",240,131,"3","Sad","simple"
"241",241,132,"3","Sad","simple"
"242",242,133,"3","Sad","simple"
"243",243,140,"3","Sad","simple"
"244",244,141,"3","Sad","simple"
"245",245,144,"3","Sad","simple"
"246",246,148,"3","Sad","simple"
"247",247,172,"3","Sad","simple"
"248",248,173,"3","Sad","simple"
"249",249,176,"3","Sad","simple"
"250",250,177,"3","Sad","simple"
"251",251,179,"3","Sad","simple"
"252",252,182,"3","Sad","simple"
"253",253,183,"3","Sad","simple"
"254",254,184,"3","Sad","simple"
"255",255,187,"3","Sad","simple"
"256",256,189,"3","Sad","simple"
"257",257,191,"3","Sad","simple"
"258",258,192,"3","Sad","simple"
"259",259,195,"3","Sad","simple"
"260",260,197,"3","Sad","simple"
"261",261,198,"3","Sad","simple"
"262",262,199,"3","Sad","simple"
"263",263,202,"3","Sad","simple"
"264",264,203,"3","Sad","simple"
"265",265,204,"3","Sad","simple"
"266",266,205,"3","Sad","simple"
"267",267,207,"3","Sad","simple"
"268",268,209,"3","Sad","simple"
"269",269,210,"3","Sad","simple"
"270",270,212,"3","Sad","simple"
"271",271,214,"3","Sad","simple"
"272",272,216,"3","Sad","simple"
"273",273,217,"3","Sad","simple"
"274",274,219,"3","Sad","simple"
"275",275,221,"3","Sad","simple"
"276",276,222,"3","Sad","simple"
"277",277,223,"3","Sad","simple"
"278",278,224,"3","Sad","simple"
"279",279,226,"3","Sad","simple"
"280",280,227,"3","Sad","simple"
"281",281,230,"3","Sad","simple"
"282",282,231,"3","Sad","simple"
"283",283,235,"3","Sad","simple"
"284",284,236,"3","Sad","simple"
"285",285,238,"3","Sad","simple"
"286",286,240,"3","Sad","simple"
"287",287,243,"3","Sad","simple"
"288",288,250,"3","Sad","simple"
"289",289,251,"3","Sad","simple"
"290",290,254,"3","Sad","simple"
"291",291,255,"3","Sad","simple"
"292",292,256,"3","Sad","simple"
"293",293,257,"3","Sad","simple"
"294",294,258,"3","Sad","simple"
"295",295,259,"3","Sad","simple"
"296",296,260,"3","Sad","simple"
"297",297,261,"3","Sad","simple"
"298",298,265,"3","Sad","simple"
"299",299,267,"3","Sad","simple"
"300",300,268,"3","Sad","simple"
"301",301,269,"3","Sad","simple"
"302",302,270,"3","Sad","simple"
"303",303,271,"3","Sad","simple"
"304",304,272,"3","Sad","simple"
"305",305,273,"3","Sad","simple"
"306",306,276,"3","Sad","simple"
"307",307,277,"3","Sad","simple"
"308",308,278,"3","Sad","simple"
"309",309,283,"3","Sad","simple"
"310",310,284,"3","Sad","simple"
"311",311,286,"3","Sad","simple"
"312",312,287,"3","Sad","simple"
"313",313,289,"3","Sad","simple"
"314",314,292,"3","Sad","simple"
"315",315,295,"3","Sad","simple"
"316",316,296,"3","Sad","simple"
"317",317,298,"3","Sad","simple"
"318",318,301,"3","Sad","simple"
"319",319,302,"3","Sad","simple"
"320",320,304,"3","Sad","simple"
"321",321,307,"3","Sad","simple"
"322",322,309,"3","Sad","simple"
"323",323,310,"3","Sad","simple"
"324",324,311,"3","Sad","simple"
"325",325,316,"3","Sad","simple"
"326",326,319,"3","Sad","simple"
"327",327,320,"3","Sad","simple"
"328",328,322,"3","Sad","simple"
"329",329,323,"3","Sad","simple"
"330",330,326,"3","Sad","simple"
"331",331,327,"3","Sad","simple"
"332",332,328,"3","Sad","simple"
"333",333,331,"3","Sad","simple"
"334",334,333,"3","Sad","simple"
"335",335,335,"3","Sad","simple"
"336",336,336,"3","Sad","simple"
"337",337,337,"3","Sad","simple"
"338",338,338,"3","Sad","simple"
"339",339,339,"3","Sad","simple"
"340",340,345,"3","Sad","simple"
"341",341,348,"3","Sad","simple"
"342",342,349,"3","Sad","simple"
"343",343,350,"3","Sad","simple"
"344",344,351,"3","Sad","simple"
"345",345,352,"3","Sad","simple"
"346",346,356,"3","Sad","simple"
"347",347,361,"3","Sad","simple"
"348",348,363,"3","Sad","simple"
"349",349,367,"3","Sad","simple"
"350",350,368,"3","Sad","simple"
"351",351,370,"3","Sad","simple"
"352",352,373,"3","Sad","simple"
"353",353,374,"3","Sad","simple"
"354",354,375,"3","Sad","simple"
"355",355,380,"3","Sad","simple"
"356",356,381,"3","Sad","simple"
"357",357,383,"3","Sad","simple"
"358",358,388,"3","Sad","simple"
"359",359,389,"3","Sad","simple"
"360",360,390,"3","Sad","simple"
"361",361,391,"3","Sad","simple"
"362",362,111,"4","Angry","simple"
"363",363,113,"4","Angry","simple"
"364",364,116,"4","Angry","simple"
"365",365,118,"4","Angry","simple"
"366",366,124,"4","Angry","simple"
"367",367,125,"4","Angry","simple"
"368",368,126,"4","Angry","simple"
"369",369,127,"4","Angry","simple"
"370",370,128,"4","Angry","simple"
"371",371,130,"4","Angry","simple"
"372",372,131,"4","Angry","simple"
"373",373,132,"4","Angry","simple"
"374",374,134,"4","Angry","simple"
"375",375,140,"4","Angry","simple"
"376",376,144,"4","Angry","simple"
"377",377,173,"4","Angry","simple"
"378",378,180,"4","Angry","simple"
"379",379,181,"4","Angry","simple"
"380",380,182,"4","Angry","simple"
"381",381,183,"4","Angry","simple"
"382",382,187,"4","Angry","simple"
"383",383,188,"4","Angry","simple"
"384",384,190,"4","Angry","simple"
"385",385,191,"4","Angry","simple"
"386",386,193,"4","Angry","simple"
"387",387,194,"4","Angry","simple"
"388",388,196,"4","Angry","simple"
"389",389,197,"4","Angry","simple"
"390",390,198,"4","Angry","simple"
"391",391,199,"4","Angry","simple"
"392",392,200,"4","Angry","simple"
"393",393,201,"4","Angry","simple"
"394",394,202,"4","Angry","simple"
"395",395,206,"4","Angry","simple"
"396",396,209,"4","Angry","simple"
"397",397,211,"4","Angry","simple"
"398",398,215,"4","Angry","simple"
"399",399,217,"4","Angry","simple"
"400",400,220,"4","Angry","simple"
"401",401,221,"4","Angry","simple"
"402",402,222,"4","Angry","simple"
"403",403,223,"4","Angry","simple"
"404",404,224,"4","Angry","simple"
"405",405,228,"4","Angry","simple"
"406",406,229,"4","Angry","simple"
"407",407,231,"4","Angry","simple"
"408",408,233,"4","Angry","simple"
"409",409,236,"4","Angry","simple"
"410",410,239,"4","Angry","simple"
"411",411,240,"4","Angry","simple"
"412",412,241,"4","Angry","simple"
"413",413,242,"4","Angry","simple"
"414",414,243,"4","Angry","simple"
"415",415,255,"4","Angry","simple"
"416",416,257,"4","Angry","simple"
"417",417,258,"4","Angry","simple"
"418",418,263,"4","Angry","simple"
"419",419,265,"4","Angry","simple"
"420",420,267,"4","Angry","simple"
"421",421,269,"4","Angry","simple"
"422",422,270,"4","Angry","simple"
"423",423,271,"4","Angry","simple"
"424",424,274,"4","Angry","simple"
"425",425,277,"4","Angry","simple"
"426",426,283,"4","Angry","simple"
"427",427,285,"4","Angry","simple"
"428",428,287,"4","Angry","simple"
"429",429,292,"4","Angry","simple"
"430",430,294,"4","Angry","simple"
"431",431,296,"4","Angry","simple"
"432",432,298,"4","Angry","simple"
"433",433,300,"4","Angry","simple"
"434",434,301,"4","Angry","simple"
"435",435,306,"4","Angry","simple"
"436",436,307,"4","Angry","simple"
"437",437,313,"4","Angry","simple"
"438",438,314,"4","Angry","simple"
"439",439,316,"4","Angry","simple"
"440",440,318,"4","Angry","simple"
"441",441,319,"4","Angry","simple"
"442",442,320,"4","Angry","simple"
"443",443,322,"4","Angry","simple"
"444",444,323,"4","Angry","simple"
"445",445,325,"4","Angry","simple"
"446",446,326,"4","Angry","simple"
"447",447,328,"4","Angry","simple"
"448",448,332,"4","Angry","simple"
"449",449,333,"4","Angry","simple"
"450",450,334,"4","Angry","simple"
"451",451,335,"4","Angry","simple"
"452",452,337,"4","Angry","simple"
"453",453,341,"4","Angry","simple"
"454",454,343,"4","Angry","simple"
"455",455,347,"4","Angry","simple"
"456",456,348,"4","Angry","simple"
"457",457,350,"4","Angry","simple"
"458",458,351,"4","Angry","simple"
"459",459,352,"4","Angry","simple"
"460",460,353,"4","Angry","simple"
"461",461,355,"4","Angry","simple"
"462",462,357,"4","Angry","simple"
"463",463,359,"4","Angry","simple"
"464",464,360,"4","Angry","simple"
"465",465,361,"4","Angry","simple"
"466",466,362,"4","Angry","simple"
"467",467,363,"4","Angry","simple"
"468",468,365,"4","Angry","simple"
"469",469,367,"4","Angry","simple"
"470",470,368,"4","Angry","simple"
"471",471,373,"4","Angry","simple"
"472",472,375,"4","Angry","simple"
"473",473,378,"4","Angry","simple"
"474",474,383,"4","Angry","simple"
"475",475,386,"4","Angry","simple"
"476",476,387,"4","Angry","simple"
"477",477,388,"4","Angry","simple"
"478",478,390,"4","Angry","simple"
"479",479,391,"4","Angry","simple"
"480",480,110,"5","Surprised","simple"
"481",481,114,"5","Surprised","simple"
"482",482,115,"5","Surprised","simple"
"483",483,116,"5","Surprised","simple"
"484",484,117,"5","Surprised","simple"
"485",485,118,"5","Surprised","simple"
"486",486,119,"5","Surprised","simple"
"487",487,121,"5","Surprised","simple"
"488",488,123,"5","Surprised","simple"
"489",489,126,"5","Surprised","simple"
"490",490,127,"5","Surprised","simple"
"491",491,130,"5","Surprised","simple"
"492",492,132,"5","Surprised","simple"
"493",493,133,"5","Surprised","simple"
"494",494,135,"5","Surprised","simple"
"495",495,140,"5","Surprised","simple"
"496",496,142,"5","Surprised","simple"
"497",497,148,"5","Surprised","simple"
"498",498,172,"5","Surprised","simple"
"499",499,180,"5","Surprised","simple"
"500",500,181,"5","Surprised","simple"
"501",501,182,"5","Surprised","simple"
"502",502,185,"5","Surprised","simple"
"503",503,189,"5","Surprised","simple"
"504",504,190,"5","Surprised","simple"
"505",505,192,"5","Surprised","simple"
"506",506,194,"5","Surprised","simple"
"507",507,197,"5","Surprised","simple"
"508",508,202,"5","Surprised","simple"
"509",509,203,"5","Surprised","simple"
"510",510,205,"5","Surprised","simple"
"511",511,207,"5","Surprised","simple"
"512",512,208,"5","Surprised","simple"
"513",513,212,"5","Surprised","simple"
"514",514,213,"5","Surprised","simple"
"515",515,215,"5","Surprised","simple"
"516",516,216,"5","Surprised","simple"
"517",517,217,"5","Surprised","simple"
"518",518,222,"5","Surprised","simple"
"519",519,223,"5","Surprised","simple"
"520",520,225,"5","Surprised","simple"
"521",521,227,"5","Surprised","simple"
"522",522,228,"5","Surprised","simple"
"523",523,230,"5","Surprised","simple"
"524",524,231,"5","Surprised","simple"
"525",525,233,"5","Surprised","simple"
"526",526,236,"5","Surprised","simple"
"527",527,237,"5","Surprised","simple"
"528",528,239,"5","Surprised","simple"
"529",529,241,"5","Surprised","simple"
"530",530,243,"5","Surprised","simple"
"531",531,250,"5","Surprised","simple"
"532",532,251,"5","Surprised","simple"
"533",533,257,"5","Surprised","simple"
"534",534,260,"5","Surprised","simple"
"535",535,267,"5","Surprised","simple"
"536",536,268,"5","Surprised","simple"
"537",537,269,"5","Surprised","simple"
"538",538,270,"5","Surprised","simple"
"539",539,280,"5","Surprised","simple"
"540",540,283,"5","Surprised","simple"
"541",541,284,"5","Surprised","simple"
"542",542,285,"5","Surprised","simple"
"543",543,287,"5","Surprised","simple"
"544",544,290,"5","Surprised","simple"
"545",545,292,"5","Surprised","simple"
"546",546,293,"5","Surprised","simple"
"547",547,294,"5","Surprised","simple"
"548",548,298,"5","Surprised","simple"
"549",549,299,"5","Surprised","simple"
"550",550,304,"5","Surprised","simple"
"551",551,306,"5","Surprised","simple"
"552",552,307,"5","Surprised","simple"
"553",553,309,"5","Surprised","simple"
"554",554,311,"5","Surprised","simple"
"555",555,312,"5","Surprised","simple"
"556",556,313,"5","Surprised","simple"
"557",557,318,"5","Surprised","simple"
"558",558,319,"5","Surprised","simple"
"559",559,327,"5","Surprised","simple"
"560",560,328,"5","Surprised","simple"
"561",561,331,"5","Surprised","simple"
"562",562,332,"5","Surprised","simple"
"563",563,335,"5","Surprised","simple"
"564",564,337,"5","Surprised","simple"
"565",565,338,"5","Surprised","simple"
"566",566,339,"5","Surprised","simple"
"567",567,344,"5","Surprised","simple"
"568",568,347,"5","Surprised","simple"
"569",569,348,"5","Surprised","simple"
"570",570,350,"5","Surprised","simple"
"571",571,352,"5","Surprised","simple"
"572",572,355,"5","Surprised","simple"
"573",573,360,"5","Surprised","simple"
"574",574,363,"5","Surprised","simple"
"575",575,365,"5","Surprised","simple"
"576",576,367,"5","Surprised","simple"
"577",577,369,"5","Surprised","simple"
"578",578,370,"5","Surprised","simple"
"579",579,375,"5","Surprised","simple"
"580",580,376,"5","Surprised","simple"
"581",581,377,"5","Surprised","simple"
"582",582,379,"5","Surprised","simple"
"583",583,380,"5","Surprised","simple"
"584",584,383,"5","Surprised","simple"
"585",585,386,"5","Surprised","simple"
"586",586,387,"5","Surprised","simple"
"587",587,389,"5","Surprised","simple"
"588",588,392,"5","Surprised","simple"
"589",589,110,"6","Disgusted","simple"
"590",590,111,"6","Disgusted","simple"
"591",591,113,"6","Disgusted","simple"
"592",592,114,"6","Disgusted","simple"
"593",593,118,"6","Disgusted","simple"
"594",594,119,"6","Disgusted","simple"
"595",595,121,"6","Disgusted","simple"
"596",596,127,"6","Disgusted","simple"
"597",597,128,"6","Disgusted","simple"
"598",598,130,"6","Disgusted","simple"
"599",599,134,"6","Disgusted","simple"
"600",600,135,"6","Disgusted","simple"
"601",601,140,"6","Disgusted","simple"
"602",602,144,"6","Disgusted","simple"
"603",603,173,"6","Disgusted","simple"
"604",604,178,"6","Disgusted","simple"
"605",605,180,"6","Disgusted","simple"
"606",606,181,"6","Disgusted","simple"
"607",607,182,"6","Disgusted","simple"
"608",608,183,"6","Disgusted","simple"
"609",609,189,"6","Disgusted","simple"
"610",610,190,"6","Disgusted","simple"
"611",611,191,"6","Disgusted","simple"
"612",612,193,"6","Disgusted","simple"
"613",613,194,"6","Disgusted","simple"
"614",614,198,"6","Disgusted","simple"
"615",615,202,"6","Disgusted","simple"
"616",616,205,"6","Disgusted","simple"
"617",617,207,"6","Disgusted","simple"
"618",618,208,"6","Disgusted","simple"
"619",619,210,"6","Disgusted","simple"
"620",620,211,"6","Disgusted","simple"
"621",621,213,"6","Disgusted","simple"
"622",622,214,"6","Disgusted","simple"
"623",623,216,"6","Disgusted","simple"
"624",624,217,"6","Disgusted","simple"
"625",625,219,"6","Disgusted","simple"
"626",626,221,"6","Disgusted","simple"
"627",627,222,"6","Disgusted","simple"
"628",628,229,"6","Disgusted","simple"
"629",629,230,"6","Disgusted","simple"
"630",630,235,"6","Disgusted","simple"
"631",631,237,"6","Disgusted","simple"
"632",632,238,"6","Disgusted","simple"
"633",633,239,"6","Disgusted","simple"
"634",634,241,"6","Disgusted","simple"
"635",635,242,"6","Disgusted","simple"
"636",636,253,"6","Disgusted","simple"
"637",637,256,"6","Disgusted","simple"
"638",638,257,"6","Disgusted","simple"
"639",639,258,"6","Disgusted","simple"
"640",640,259,"6","Disgusted","simple"
"641",641,264,"6","Disgusted","simple"
"642",642,265,"6","Disgusted","simple"
"643",643,266,"6","Disgusted","simple"
"644",644,267,"6","Disgusted","simple"
"645",645,277,"6","Disgusted","simple"
"646",646,278,"6","Disgusted","simple"
"647",647,282,"6","Disgusted","simple"
"648",648,283,"6","Disgusted","simple"
"649",649,285,"6","Disgusted","simple"
"650",650,286,"6","Disgusted","simple"
"651",651,288,"6","Disgusted","simple"
"652",652,289,"6","Disgusted","simple"
"653",653,292,"6","Disgusted","simple"
"654",654,294,"6","Disgusted","simple"
"655",655,298,"6","Disgusted","simple"
"656",656,300,"6","Disgusted","simple"
"657",657,301,"6","Disgusted","simple"
"658",658,302,"6","Disgusted","simple"
"659",659,304,"6","Disgusted","simple"
"660",660,305,"6","Disgusted","simple"
"661",661,306,"6","Disgusted","simple"
"662",662,307,"6","Disgusted","simple"
"663",663,312,"6","Disgusted","simple"
"664",664,332,"6","Disgusted","simple"
"665",665,336,"6","Disgusted","simple"
"666",666,337,"6","Disgusted","simple"
"667",667,338,"6","Disgusted","simple"
"668",668,339,"6","Disgusted","simple"
"669",669,341,"6","Disgusted","simple"
"670",670,344,"6","Disgusted","simple"
"671",671,346,"6","Disgusted","simple"
"672",672,348,"6","Disgusted","simple"
"673",673,349,"6","Disgusted","simple"
"674",674,350,"6","Disgusted","simple"
"675",675,352,"6","Disgusted","simple"
"676",676,353,"6","Disgusted","simple"
"677",677,355,"6","Disgusted","simple"
"678",678,362,"6","Disgusted","simple"
"679",679,364,"6","Disgusted","simple"
"680",680,365,"6","Disgusted","simple"
"681",681,366,"6","Disgusted","simple"
"682",682,368,"6","Disgusted","simple"
"683",683,370,"6","Disgusted","simple"
"684",684,374,"6","Disgusted","simple"
"685",685,376,"6","Disgusted","simple"
"686",686,379,"6","Disgusted","simple"
"687",687,382,"6","Disgusted","simple"
"688",688,383,"6","Disgusted","simple"
"689",689,384,"6","Disgusted","simple"
"690",690,389,"6","Disgusted","simple"
"691",691,390,"6","Disgusted","simple"
"692",692,392,"6","Disgusted","simple"
"693",693,110,"7","Fearful","simple"
"694",694,111,"7","Fearful","simple"
"695",695,113,"7","Fearful","simple"
"696",696,116,"7","Fearful","simple"
"697",697,117,"7","Fearful","simple"
"698",698,119,"7","Fearful","simple"
"699",699,121,"7","Fearful","simple"
"700",700,124,"7","Fearful","simple"
"701",701,125,"7","Fearful","simple"
"702",702,127,"7","Fearful","simple"
"703",703,128,"7","Fearful","simple"
"704",704,131,"7","Fearful","simple"
"705",705,132,"7","Fearful","simple"
"706",706,133,"7","Fearful","simple"
"707",707,134,"7","Fearful","simple"
"708",708,141,"7","Fearful","simple"
"709",709,144,"7","Fearful","simple"
"710",710,173,"7","Fearful","simple"
"711",711,174,"7","Fearful","simple"
"712",712,178,"7","Fearful","simple"
"713",713,179,"7","Fearful","simple"
"714",714,180,"7","Fearful","simple"
"715",715,184,"7","Fearful","simple"
"716",716,185,"7","Fearful","simple"
"717",717,187,"7","Fearful","simple"
"718",718,190,"7","Fearful","simple"
"719",719,191,"7","Fearful","simple"
"720",720,194,"7","Fearful","simple"
"721",721,197,"7","Fearful","simple"
"722",722,198,"7","Fearful","simple"
"723",723,199,"7","Fearful","simple"
"724",724,200,"7","Fearful","simple"
"725",725,202,"7","Fearful","simple"
"726",726,206,"7","Fearful","simple"
"727",727,210,"7","Fearful","simple"
"728",728,211,"7","Fearful","simple"
"729",729,212,"7","Fearful","simple"
"730",730,215,"7","Fearful","simple"
"731",731,217,"7","Fearful","simple"
"732",732,218,"7","Fearful","simple"
"733",733,219,"7","Fearful","simple"
"734",734,223,"7","Fearful","simple"
"735",735,224,"7","Fearful","simple"
"736",736,228,"7","Fearful","simple"
"737",737,229,"7","Fearful","simple"
"738",738,231,"7","Fearful","simple"
"739",739,232,"7","Fearful","simple"
"740",740,233,"7","Fearful","simple"
"741",741,236,"7","Fearful","simple"
"742",742,238,"7","Fearful","simple"
"743",743,239,"7","Fearful","simple"
"744",744,240,"7","Fearful","simple"
"745",745,241,"7","Fearful","simple"
"746",746,242,"7","Fearful","simple"
"747",747,250,"7","Fearful","simple"
"748",748,252,"7","Fearful","simple"
